Rqmnt. No.,TO Number,Created On,Material,Material Description,Typ,Source Bin,AUn,SrceTGtQty,,Typ,Dest. Bin,GR Number,GR
35053405,203615877,24.06.2019,4B21507/IN,Name Plate,13,S-O-12,PC,300,,100,SBA_01_N,5015449543,11
,,,4B21507/IN,,,,PC,300,,,,,
35053405,203615877,24.06.2020,4B42165/IN,Seal Ring,11,H-N-01,PC,300,,100,SBA_01_N,5015362079,25
,,,4B42165/IN,,,,PC,300,,,,,
35053405,203615877,24.06.2021,4B466921/IN,O-Ring,13,S-L-06,PC,112,,100,SBA_01_N,5015320467,18
35053405,203615877,24.06.2022,4B466921/IN,O-Ring,13,S-L-06,PC,188,,100,SBA_01_N,5015320467,18
,,,4B466921/IN,,,,PC,300,,,,,
35053405,203615877,24.06.2023,4B57679/IN,O-Ring,13,S-P-12,PC,300,,100,SBA_01_N,5015356040,24
,,,4B57679/IN,,,,PC,300,,,,,
35053405,203615877,24.06.2024,4B61104/IN,Spring,11,H-O-07,PC,300,,100,SBA_01_N,5015140957,15
,,,4B61104/IN,,,,PC,300,,,,,
35053405,203615877,24.06.2025,4B62162/IN,Cover,11,H-O-07,PC,300,,100,SBA_01_N,5015373520,28
,,,4B62162/IN,,,,PC,300,,,,,
35053405,203615877,24.06.2026,4B62163/IN,Piston,11,H-S-26,PC,44,,100,SBA_01_N,5015320379,18
35053405,203615877,24.06.2027,4B62163/IN,Piston,11,H-S-27,PC,256,,100,SBA_01_N,5015320465,18
,,,4B62163/IN,,,,PC,300,,,,,
35053405,203615877,24.06.2028,4B62408/IN,O-Ring,11,H-N-12,PC,300,,100,SBA_01_N,2003437837,31
,,,4B62408/IN,,,,PC,300,,,,,
35053405,203615877,24.06.2029,4B66546/IN,Pusher,11,H-M-09,PC,46,,100,SBA_01_N,5015469487,14
35053405,203615877,24.06.2029,4B66546/IN,Pusher,11,H-M-09,PC,168,,100,SBA_01_N,5015509318,21
35053405,203615877,24.06.2030,4B66546/IN,Pusher,11,H-M-09,PC,86,,100,SBA_01_N,5015509318,21
,,,4B66546/IN,,,,PC,300,,,,,
35053405,203615877,24.06.2031,4B69048/IN,Nut,11,H-M-04,PC,174,,100,SBA_01_N,5015442696,10
35053405,203615877,24.06.2032,4B69048/IN,Nut,11,H-M-04,PC,126,,100,SBA_01_N,5015442696,10
,,,4B69048/IN,,,,PC,300,,,,,
35053405,203615877,24.06.2033,4B87758/IN,Spring,11,H-P-23,PC,300,,100,SBA_01_N,5015457391,12
,,,4B87758/IN,,,,,300,,,,,
